,target,account,affiliated
0,Hillary Clinton,HillaryClinton,True
1,Hillary Clinton,POTUS,False
2,Hillary Clinton,billclinton,True
3,Hillary Clinton,GOP,False
4,Hillary Clinton,BarackObama,False
5,Hillary Clinton,realDonaldTrump,False
6,Hillary Clinton,politico,False
7,Hillary Clinton,FoxNews,False
8,Hillary Clinton,BernieSanders,False
9,Hillary Clinton,HillaryforIA,True
10,Hillary Clinton,thehill,False
11,Hillary Clinton,tedcruz,False
12,Hillary Clinton,TheDemocrats,True
13,Hillary Clinton,JebBush,False
14,Hillary Clinton,ChrisChristie,False
15,Hillary Clinton,theblaze,False
16,Hillary Clinton,FutureTXLeader,False
17,Hillary Clinton,jstines3,False
18,Hillary Clinton,pamnsc,False
19,Hillary Clinton,DrMartyFox,False
20,Hillary Clinton,Chris_1791,False
21,Hillary Clinton,StateDept,False
22,Hillary Clinton,seanhannity,False
23,Hillary Clinton,ClintonFdn,True
24,Hillary Clinton,RandPaul,False
25,Hillary Clinton,readyforHRC,False
26,Hillary Clinton,MaryMorientes,False
27,Hillary Clinton,ChelseaClinton,True
28,Hillary Clinton,greta,False
29,Hillary Clinton,WoodenThreat,False
30,Hillary Clinton,larryelder,False
31,Hillary Clinton,Callisto1947,False
32,Hillary Clinton,petefrt,False
33,Hillary Clinton,TODAYshow,False
34,Hillary Clinton,CBSThisMorning,False
35,Hillary Clinton,gerfingerpoken2,False
36,Hillary Clinton,NRO,False
37,Hillary Clinton,johnpodesta,False
38,Hillary Clinton,megynkelly,False
39,Hillary Clinton,HillaryIn2016,True
40,Hillary Clinton,gerfingerpoken,False
41,Hillary Clinton,jjauthor,False
42,Hillary Clinton,CarmineZozzora,False
43,Hillary Clinton,nytimes,False
44,Hillary Clinton,TIMENOUT,False
45,Hillary Clinton,GovChristie,False
46,Hillary Clinton,AdamParkhomenko,False
47,Hillary Clinton,Lawrence,False
48,Hillary Clinton,JW4Hillary,False
49,Hillary Clinton,BretBaier,False
50,Hillary Clinton,JoeBiden,False
51,Hillary Clinton,SenSanders,False
52,Hillary Clinton,ProudInfidel33,False
53,Hillary Clinton,sunbeltgirl,False
54,Hillary Clinton,Babbsgirl2,False
55,Hillary Clinton,anniekarni,False
56,Hillary Clinton,oreillyfactor,False
57,Hillary Clinton,joanwalsh,False
58,Hillary Clinton,danmericaCNN,False
59,Hillary Clinton,vendettajane,False
60,Hillary Clinton,redsteeze,False
61,Hillary Clinton,maggieNYT,False
62,Hillary Clinton,GunnJessica,False
63,Hillary Clinton,newsbusters,False
64,Hillary Clinton,dnewhauser,False
65,Hillary Clinton,AmbCathyRussell,False
66,Hillary Clinton,AdamSmith_USA,False
67,Hillary Clinton,GovernorOMalley,False
68,Hillary Clinton,HuffPostPol,False
69,Hillary Clinton,NACLA,False
70,Hillary Clinton,BrasilWire,False
71,Hillary Clinton,CheekyGent,False
72,Hillary Clinton,ChuckCJohnson,False
73,Hillary Clinton,NicolaSturgeon,False
74,Hillary Clinton,ReformedBroker,False
75,Hillary Clinton,StopHillaryPAC,False
76,Hillary Clinton,lajouetreine,False
77,Hillary Clinton,KarrattiPaul,False
78,Hillary Clinton,trscoop,False
79,Hillary Clinton,evanperez,False
80,Hillary Clinton,hale_razor,False
81,Hillary Clinton,Bluesaloon,False
82,Hillary Clinton,ProBirdRights,False
83,Hillary Clinton,JSavoly,False
