,target,account,affiliated
0,Hillary Clinton,HillaryClinton,True
411,Hillary Clinton,JW4Hillary,True
125,Hillary Clinton,DNCWomen,True
164,Hillary Clinton,ClintonGlobal,True
300,Hillary Clinton,HillaryforSC,True
365,Hillary Clinton,billclinton,True
372,Hillary Clinton,HillaryforIA,True
375,Hillary Clinton,TheDemocrats,True
386,Hillary Clinton,ClintonFdn,True
388,Hillary Clinton,readyforHRC,True
390,Hillary Clinton,ChelseaClinton,True
402,Hillary Clinton,HillaryIn2016,True
523,Hillary Clinton,ca_hillary,True
557,Hillary Clinton,HRCSnowShovel,True
559,Hillary Clinton,ARForHillary,True
568,Hillary Clinton,Chefs4Hillary,True
614,Hillary Clinton,HillaryHaikus,True
629,Hillary Clinton,HillaryforNV,True
632,Hillary Clinton,hillaryclinton,True
700,Hillary Clinton,HillaryforNH,True
503,Hillary Clinton,schoolbus_soul,False
495,Hillary Clinton,Upworthy,False
505,Hillary Clinton,marymorientes,False
489,Hillary Clinton,Norsu2,False
490,Hillary Clinton,johnmanko,False
491,Hillary Clinton,CassandraRules,False
492,Hillary Clinton,Slate,False
493,Hillary Clinton,jmarkwalk,False
494,Hillary Clinton,Anomaly100,False
496,Hillary Clinton,JohnKerry,False
502,Hillary Clinton,TheFive,False
497,Hillary Clinton,BALWANIKAPIL,False
487,Hillary Clinton,Faith4Hillary,False
498,Hillary Clinton,tomperriello,False
499,Hillary Clinton,VRWCTexan,False
500,Hillary Clinton,zacharyebell,False
501,Hillary Clinton,Glenn_Hegar,False
504,Hillary Clinton,zaksteib,False
26,Hillary Clinton,MaryMorientes,False
485,Hillary Clinton,HRC,False
486,Hillary Clinton,FDCITY,False
475,Hillary Clinton,SoCaliMilitia1,False
467,Hillary Clinton,TX_1,False
468,Hillary Clinton,politicalmath,False
469,Hillary Clinton,ATikSalt,False
470,Hillary Clinton,tjhansen,False
471,Hillary Clinton,owillis,False
472,Hillary Clinton,FoundersGirl,False
473,Hillary Clinton,Artist_Angie,False
474,Hillary Clinton,MauraReynolds,False
476,Hillary Clinton,CzarofFreedom,False
507,Hillary Clinton,putterrod,False
477,Hillary Clinton,ConservatveGurl,False
478,Hillary Clinton,LifeNewsHQ,False
479,Hillary Clinton,TruthRevolt,False
480,Hillary Clinton,RepSusanDavis,False
481,Hillary Clinton,Joan_Vennochi,False
482,Hillary Clinton,NatureGuy101,False
483,Hillary Clinton,rebeccalipson,False
484,Hillary Clinton,Xxoax,False
506,Hillary Clinton,Froquesha,False
508,Hillary Clinton,IngrahamAngle,False
465,Hillary Clinton,AlyssSmithh,False
539,Hillary Clinton,JewboyDonny,False
531,Hillary Clinton,vacanti,False
532,Hillary Clinton,samglover,False
533,Hillary Clinton,muradguderian,False
534,Hillary Clinton,TRPhrophet,False
535,Hillary Clinton,RamblingMother,False
536,Hillary Clinton,PolitiBunny,False
537,Hillary Clinton,Seja75,False
538,Hillary Clinton,hubbit,False
540,Hillary Clinton,thegirlwithfood,False
509,Hillary Clinton,bcwilliams92,False
541,Hillary Clinton,ZerlinaMaxwell,False
542,Hillary Clinton,IamTheWindowMan,False
543,Hillary Clinton,occupycorruptDC,False
544,Hillary Clinton,GerryConnolly,False
545,Hillary Clinton,JerseyKidPicks,False
546,Hillary Clinton,AGMarkHerring,False
547,Hillary Clinton,vademocrats,False
548,Hillary Clinton,BobbyJindal,False
530,Hillary Clinton,GideonHenry,False
529,Hillary Clinton,SCOTUS_Scalia,False
528,Hillary Clinton,Molls30,False
10,Hillary Clinton,thehill,False
510,Hillary Clinton,Madam_President,False
511,Hillary Clinton,spanglishpop,False
512,Hillary Clinton,Temp15544,False
513,Hillary Clinton,icedecay,False
514,Hillary Clinton,BrooklynJuggler,False
515,Hillary Clinton,classic_mouth,False
516,Hillary Clinton,izzybugatti,False
517,Hillary Clinton,jilevin,False
518,Hillary Clinton,strumpetcity,False
519,Hillary Clinton,washingtonpost,False
520,Hillary Clinton,LeighStorz,False
521,Hillary Clinton,texasman2008,False
522,Hillary Clinton,AmyMek,False
11,Hillary Clinton,tedcruz,False
524,Hillary Clinton,mcirelli92,False
525,Hillary Clinton,clairecmc,False
526,Hillary Clinton,RosieGray,False
466,Hillary Clinton,SenWarren,False
464,Hillary Clinton,WhiteHouse,False
550,Hillary Clinton,LaneLewis,False
409,Hillary Clinton,AdamParkhomenko,False
401,Hillary Clinton,megynkelly,False
14,Hillary Clinton,ChrisChristie,False
403,Hillary Clinton,gerfingerpoken,False
404,Hillary Clinton,jjauthor,False
405,Hillary Clinton,CarmineZozzora,False
406,Hillary Clinton,nytimes,False
407,Hillary Clinton,TIMENOUT,False
408,Hillary Clinton,GovChristie,False
410,Hillary Clinton,Lawrence,False
399,Hillary Clinton,NRO,False
13,Hillary Clinton,JebBush,False
412,Hillary Clinton,BretBaier,False
413,Hillary Clinton,JoeBiden,False
414,Hillary Clinton,SenSanders,False
415,Hillary Clinton,ProudInfidel33,False
416,Hillary Clinton,sunbeltgirl,False
417,Hillary Clinton,Babbsgirl2,False
418,Hillary Clinton,anniekarni,False
400,Hillary Clinton,johnpodesta,False
398,Hillary Clinton,gerfingerpoken2,False
420,Hillary Clinton,joanwalsh,False
387,Hillary Clinton,RandPaul,False
379,Hillary Clinton,FutureTXLeader,False
380,Hillary Clinton,jstines3,False
381,Hillary Clinton,pamnsc,False
382,Hillary Clinton,DrMartyFox,False
383,Hillary Clinton,Chris_1791,False
384,Hillary Clinton,StateDept,False
385,Hillary Clinton,seanhannity,False
397,Hillary Clinton,CBSThisMorning,False
15,Hillary Clinton,theblaze,False
391,Hillary Clinton,greta,False
392,Hillary Clinton,WoodenThreat,False
393,Hillary Clinton,larryelder,False
394,Hillary Clinton,Callisto1947,False
395,Hillary Clinton,petefrt,False
396,Hillary Clinton,TODAYshow,False
419,Hillary Clinton,oreillyfactor,False
421,Hillary Clinton,danmericaCNN,False
463,Hillary Clinton,Jeff_Nichols_82,False
453,Hillary Clinton,SLessard,False
445,Hillary Clinton,ProBirdRights,False
446,Hillary Clinton,JSavoly,False
447,Hillary Clinton,JusticeWillett,False
448,Hillary Clinton,senna1,False
449,Hillary Clinton,KirillWasHere,False
450,Hillary Clinton,KoriWasinger,False
451,Hillary Clinton,JButtawipo,False
